Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Precipitation,Visibility,Cloud Cover,month,year,season,is_festival,is_extreme_heat,temp_anomaly
30.06,16.33,44.18,33.5,15,0,6.2,59.9,2,2014,0,0,0,2.86
27.39,17.56,56.5,31.39,12.8,0,5.6,68.8,2,2014,0,0,0,0.19
27.11,16.67,55.42,31,9.2,0,6.2,34.9,2,2014,0,0,0,-0.09
31.72,8.22,23.3,32.11,6.9,0,6.2,18.7,2,2014,0,0,0,4.52
23.56,17.28,68.13,24.64,5.8,0,6.2,30,2,2014,0,0,0,-3.64
31.22,12.33,32.99,32.28,4.7,0,6.2,34.2,2,2014,0,0,0,4.02
29.22,18.06,52.53,34.56,11.4,0,6.2,44.3,2,2014,0,0,0,2.02
31.56,15.83,38.93,33,3.4,0,6.2,50.1,2,2014,0,0,0,4.36
24.83,20.61,77.79,29.22,6.9,0,6.2,89.4,3,2014,3,0,0,-5.02
30.11,19.33,52.53,33,5.8,0,6.2,53.3,3,2014,3,0,0,0.26
30,17.56,50.59,34.06,8.1,0,6,52,3,2014,3,0,0,0.15
26.28,20.11,70.02,31.89,9.2,0,5.4,89.3,3,2014,3,0,0,-3.57
29.44,18.17,50.87,32.39,13.9,0,6.2,57.4,3,2014,3,0,0,-0.41
22.83,19.61,82.05,22.7,6.9,0,6.2,64.9,3,2014,3,0,0,-7.02
28.94,18.89,55.44,33.5,5.8,0,6.2,61.2,3,2014,3,0,0,-0.91
28,19.22,60.94,33,8.1,0,5.7,70.9,3,2014,3,0,0,-1.85
31.06,17.44,44.12,33.5,6.9,0,6.2,50,3,2014,3,0,0,1.21
25.56,19.39,69.33,30.11,6.9,0,5.6,64.9,3,2014,3,0,0,-4.29
30.72,18.22,47.66,34,8.1,0,6,47.9,3,2014,3,0,0,0.87
27.72,19.33,61.6,33,12.8,0,5.6,69.7,3,2014,3,0,0,-2.13
27.06,17.61,59.67,31.28,8.1,0,5,33.7,3,2014,3,0,0,-2.79
31.44,14.94,37.54,32.28,9.2,0,6.2,53.5,3,2014,3,0,0,1.59
